Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "20160901_MMPLATES.brd" as of: 9/2/16 3:17 PM
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,1.030,0.175,90
C2,Top,1.224,0.164,90
C3,Top,1.486,0.965,0
C4,Top,1.478,0.806,180
C5,Top,1.441,0.265,315
C6,Top,1.410,0.234,135
C7,Top,1.457,0.121,0
C8,Top,1.090,0.725,180
C9,Top,0.776,0.799,270
C10,Top,1.102,0.403,225
C11,Top,1.041,0.298,270
C12,Top,1.222,0.252,315
C13,Top,1.509,0.400,0
C14,Top,1.177,0.474,225
C15,Top,1.117,0.534,45
C16,Top,1.275,0.553,180
C17,Top,1.090,0.680,180
C18,Top,0.692,0.748,0
C19,Top,0.389,0.293,0
C20,Top,0.463,0.711,90
C21,Top,0.302,0.795,0
C22,Top,0.463,0.795,180
C23,Top,0.599,0.798,0
C24,Top,0.856,1.006,90
C25,Top,0.459,0.625,270
D1,Top,1.055,1.101,180
D5,Top,1.546,1.107,180
F1,Top,1.522,1.017,0
J1,Bottom,1.115,0.450,90
J3,Bottom,0.901,0.462,270
L1,Top,1.062,0.451,225
Q1,Bottom,1.540,1.083,90
Q2,Top,1.360,1.125,0
Q3,Top,1.244,1.125,0
R1,Top,1.101,1.151,270
R2,Top,1.147,0.504,225
R3,Top,1.090,0.770,180
R4,Top,0.389,0.542,0
R5,Top,0.687,0.798,180
R6,Top,0.674,0.662,270
R7,Top,0.723,0.662,270
R8,Top,0.641,0.311,180
R9,Top,0.848,0.594,90
R10,Top,0.576,0.579,0
R11,Top,0.641,0.353,180
R12,Top,1.500,1.151,270
R13,Top,1.360,1.020,270
R14,Top,1.244,1.020,90
S2,Top,1.090,0.908,90
U$1,Top,0.383,0.418,0
U1,Top,1.478,0.885,90
U2,Top,1.300,0.375,45
U4,Top,0.485,0.219,0
U5,Top,1.340,0.100,180
U6,Top,1.530,0.195,225
U7,Top,1.085,0.205,0
U8,Top,0.569,0.702,180
U9,Top,0.651,0.973,0
U10,Top,0.779,0.463,270
U11,Bottom,0.722,0.284,0
U12,Bottom,1.165,1.020,180
Y1,Top,0.775,0.306,0
